"縣市","統計期","業者名稱","類別","基地臺"
"嘉義市","1121231","遠傳電信股份有限公司                                                            ","4G","221"
"嘉義縣","1121231","中華電信股份有限公司                                                            ","4G","1063"
"嘉義縣","1121231","台灣大哥大股份有限公司                                                          ","4G","648"
"嘉義縣","1121231","台灣之星電信股份有限公司                                                        ","4G","367"
"嘉義縣","1121231","亞太電信股份有限公司                                                            ","4G","233"
"嘉義縣","1121231","遠傳電信股份有限公司                                                            ","4G","645"
"彰化縣","1121231","中華電信股份有限公司                                                            ","4G","1879"
"彰化縣","1121231","台灣大哥大股份有限公司                                                          ","4G","1193"
"彰化縣","1121231","台灣之星電信股份有限公司                                                        ","4G","699"
"彰化縣","1121231","亞太電信股份有限公司                                                            ","4G","459"
"彰化縣","1121231","遠傳電信股份有限公司                                                            ","4G","1141"
"臺中市","1121231","中華電信股份有限公司                                                            ","4G","4788"
"臺中市","1121231","台灣大哥大股份有限公司                                                          ","4G","3514"
"臺中市","1121231","台灣之星電信股份有限公司                                                        ","4G","2167"
